"","Grow.degd","For.cover","NDVI","For.diver","Agr.diver","For.fragm","hab_type","richness"
"1",330,99.8675,60.38135593,4.919934448,73.02345857,12.38125,"forest",8
"2",330,0,22.88135593,0,98.30250409,0,"forest",1
"3",330,38.2825,11.86440678,39.42608096,86.70781512,37.70375,"forest",5
"4",330,11.4125,19.06779661,13.23112497,73.05329785,87.4475,"forest",7
"5",330,0,2.118644068,0,77.80114955,0,"forest",2
"6",170,100,54.02542373,60.60872576,91.37852162,12.5,"forest",7
"7",170,100,51.05932203,51.25857849,51.34843024,12.5,"forest",5
"8",170,96.6525,48.09322034,75.71486619,68.11408899,12.5,"forest",4
"9",170,83.0825,55.08474576,72.4294857,91.59494494,37.5,"forest",4
"10",170,56.605,73.09322034,88.02539814,79.80612947,62.50125,"forest",5
"11",170,40.1475,80.08474576,100,56.09272784,62.50125,"forest",5
"12",290,100,100,41.57853954,0,12.5,"forest",15
"13",290,100,80.08474576,15.3738533,0,12.5,"forest",16
"14",290,51.235,83.26271186,61.52195444,6.160878493,75,"forest",15
"15",290,14.01,61.44067797,54.86316127,4.4702818,100,"forest",13
"16",290,18.0325,84.11016949,26.60076321,0,62.5,"forest",13
"17",290,0,52.75423729,0,8.397127269,0,"forest",6
"18",250,99.7775,58.68644068,51.68304703,80.94786458,12.50375,"forest",2
"19",250,93.53,74.57627119,34.08580691,49.49745169,24.99875,"forest",4
"20",250,59.7575,46.8220339,59.29074861,57.30805257,37.5,"forest",1
"21",250,55.6225,29.02542373,63.76087967,42.54611543,100,"forest",1
"22",250,8.9475,1.483050847,0,58.2290944,25.00125,"forest",0
"23",250,7.2825,9.322033898,22.61248967,46.18206908,62.50125,"forest",0
"24",310,86.6725,97.24576271,65.13180223,54.39581366,12.57,"forest",5
"25",310,89.355,89.40677966,0,6.104804425,12.4375,"forest",5
"26",310,46.57,96.39830508,40.60828516,53.06279698,24.39,"forest",5
"27",310,37.7875,93.6440678,63.18207295,56.67141018,12.45875,"forest",6
"28",310,1.245,73.94067797,0,21.7593914,11.93375,"forest",3
"29",350,81.0775,16.52542373,9.958945099,2.511523629,25.04875,"forest",10
